site_code,qtr,collection_period,com,is_baseline,rich,rich_b_all,rich_sd20,rich_b_qtr,rich_b_qtr_fill,rich_RR_b_qtr,rich_RR_b_all,rich_LRR_b_qtr,rich_LRR_b_all
PD,2,2018-06-01,community,test,12,10.571428571428571,2.9358214555806383,12,12,0,0.1350074254083975,-100000,-2.002425499031152
PD,3,2018-08-01,community,test,14,10.571428571428571,2.9358214555806383,12,12,0.16652789342214822,0.32401782098015397,-1.7925924555319468,-1.126956761677252
PD,4,2017-10-01,community,test,9,10.571428571428571,2.9358214555806383,14,14,-0.35688793718772305,-0.14850816794923719,-1.0303334479148152,-1.9071153192268275
PD,4,2017-11-01,community,test,8,10.571428571428571,2.9358214555806383,14,14,-0.4282655246252677,-0.24301336573511542,-0.8480118911208606,-1.4146388341290332
PD,4,2017-12-01,community,test,10,10.571428571428571,2.9358214555806383,14,14,-0.28551034975017847,-0.05400297016335896,-1.253476999229025,-2.9187162309053076
PL,1,2018-02-01,community,test,8,10.375,2.445841952609133,8.5,8.5,-0.05875440658049354,-0.22869523350987,-2.834389123145228,-1.4753650198414712
PL,1,2018-03-01,community,test,9,10.375,2.445841952609133,8.5,8.5,0.05875440658049354,-0.13240250361097738,-2.834389123145228,-2.0219087262095408
PL,2,2018-04-01,community,test,11,10.375,2.445841952609133,10.5,10.5,0.04757373929590866,0.0601829561868079,-3.045474365448805,-2.810366086573811
PL,2,2018-05-01,community,test,10,10.375,2.445841952609133,10.5,10.5,-0.04757373929590866,-0.036109773712084736,-3.045474365448805,-3.321191710339802
PL,2,2018-06-01,community,test,11,10.375,2.445841952609133,10.5,10.5,0.04757373929590866,0.0601829561868079,-3.045474365448805,-2.810366086573811
PL,3,2018-08-01,community,test,8,10.375,2.445841952609133,12,12,-0.33305578684429643,-0.22869523350987,-1.0994452749720016,-1.4753650198414712
PL,4,2017-10-01,community,test,8,10.375,2.445841952609133,11,11,-0.2724795640326976,-0.22869523350987,-1.3001916620664788,-1.4753650198414712
PL,4,2017-11-01,community,test,13,10.375,2.445841952609133,11,11,0.18165304268846502,0.25276841598459315,-1.7056567701746432,-1.3752815612844886
PL,4,2017-12-01,community,test,8,10.375,2.445841952609133,11,11,-0.2724795640326976,-0.22869523350987,-1.3001916620664788,-1.4753650198414712
SF,1,2018-02-01,community,test,5,7,2.7774602993176543,4.5,4.5,0.11086474501108648,-0.28530670470756064,-2.199444334074532,-1.2541905204865533
SF,2,2018-04-01,community,test,5,7,2.7774602993176543,11,11,-0.5449591280653951,-0.28530670470756064,-0.6070444815065335,-1.2541905204865533
SF,2,2018-05-01,community,test,6,7,2.7774602993176543,11,11,-0.45413260672116257,-0.14265335235378032,-0.7893660383004882,-1.9473377010464987
SF,2,2018-06-01,community,test,5,7,2.7774602993176543,11,11,-0.5449591280653951,-0.28530670470756064,-0.6070444815065335,-1.2541905204865533
SF,3,2017-09-01,community,test,7,7,2.7774602993176543,6,6,0.1663893510815308,0,-1.7934247485471162,-100000
SF,3,2018-07-01,community,test,8,7,2.7774602993176543,6,6,0.3327787021630616,0.14265335235378032,-1.1002775679871708,-1.9473377010464987
SF,4,2017-11-01,community,test,8,7,2.7774602993176543,6.5,6.5,0.2304147465437788,0.14265335235378032,-1.4678743481123135,-1.9473377010464987
SF,4,2017-12-01,community,test,6,7,2.7774602993176543,6.5,6.5,-0.07680491551459294,-0.14265335235378032,-2.5664866367804233,-1.9473377010464987
TR,1,2018-02-01,community,test,6,5.714285714285714,2.4299715851758235,8,8,-0.24968789013732834,0.04991265285749936,-1.3875435805203225,-2.9974807440881084
TR,2,2018-04-01,community,test,5,5.714285714285714,2.4299715851758235,5,5,0,-0.12478163214374846,-100000,-2.081190012213953
TR,2,2018-06-01,community,test,4,5.714285714285714,2.4299715851758235,5,5,-0.1996007984031936,-0.2994759171449963,-1.6114359150967734,-1.2057212748600528
TR,3,2018-07-01,community,test,8,5.714285714285714,2.4299715851758235,5,5,0.5988023952095809,0.399301222859995,-0.5128236264286636,-0.9180392024082721
TR,4,2017-10-01,community,test,4,5.714285714285714,2.4299715851758235,6,6,-0.3327787021630616,-0.2994759171449963,-1.1002775679871708,-1.2057212748600528
TR,4,2017-11-01,community,test,8,5.714285714285714,2.4299715851758235,6,6,0.3327787021630616,0.399301222859995,-1.1002775679871708,-0.9180392024082721
TR,4,2017-12-01,community,test,3,5.714285714285714,2.4299715851758235,6,6,-0.49916805324459235,-0.4741702021462441,-0.6948124598790065,-0.7461889454816126
WM,1,2018-02-01,community,test,12,8.125,2.2320714274285347,8,8,0.4993757802746567,0.4763368162261832,-0.6943963999603773,-0.7416300778656908
WM,1,2018-03-01,community,test,14,8.125,2.2320714274285347,8,8,0.7490636704119851,0.7221880762138906,-0.2889312918522128,-0.32546968064077847
WM,2,2018-04-01,community,test,8,8.125,2.2320714274285347,7.5,7.5,0.06657789613848203,-0.015365703749231715,-2.7093826463359885,-4.175617282350837
WM,2,2018-05-01,community,test,8,8.125,2.2320714274285347,7.5,7.5,0.06657789613848203,-0.015365703749231715,-2.7093826463359885,-4.175617282350837
WM,2,2018-06-01,community,test,8,8.125,2.2320714274285347,7.5,7.5,0.06657789613848203,-0.015365703749231715,-2.7093826463359885,-4.175617282350837
WM,4,2017-10-01,community,test,6,8.125,2.2320714274285347,7.5,7.5,-0.1997336884154461,-0.26121696373693915,-1.610770357667879,-1.342403938294621
WM,4,2017-11-01,community,test,8,8.125,2.2320714274285347,7.5,7.5,0.06657789613848203,-0.015365703749231715,-2.7093826463359885,-4.175617282350837
WM,4,2017-12-01,community,test,16,8.125,2.2320714274285347,7.5,7.5,1.1318242343541944,0.9680393362015981,0.12383069772022742,-0.03248255595930429
