site_code,qtr,collection_period,com,is_baseline,shan,shan_b_all,shan_sd20,shan_b_qtr,shan_b_qtr_fill,shan_RR_b_qtr,shan_RR_b_all,shan_LRR_b_qtr,shan_LRR_b_all
EM,4,2017-11-01,community,test,4.950563511205753,4.7605575991859475,0.7364058706349667,4.598721232964165,4.598721232964165,0.07634271210092178,0.03982886865305399,-2.5725227056924695,-3.223163286584314
EM,4,2017-12-01,community,test,3.4839460194244776,4.7605575991859475,0.7364058706349667,4.598721232964165,4.598721232964165,-0.2418838452554232,-0.26760217295758304,-1.4192976463352744,-1.318253830590692
GC,1,2018-02-01,community,test,4.011988104912509,5.81294509149344,1.7228055706752716,5.254193403045715,5.254193403045715,-0.23597257984756054,-0.3092862732317181,-1.4440396677933773,-1.1734879803867764
GC,2,2018-04-01,community,test,2.840321264082898,5.81294509149344,1.7228055706752716,4.696850976673826,4.696850976673826,-0.394431377112108,-0.5105017788598344,-0.9303101028458309,-0.6723611568392481
GC,2,2018-05-01,community,test,5.12307920205901,5.81294509149344,1.7228055706752716,4.696850976673826,4.696850976673826,0.0905548587574756,-0.11847370679181467,-2.4017994378098217,-2.1330642266401405
GC,2,2018-06-01,community,test,4.69054780967919,5.81294509149344,1.7228055706752716,4.696850976673826,4.696850976673826,-0.0013391473462561337,-0.19275422731598926,-6.615722176313737,-1.6463393351787292
GC,3,2018-07-01,community,test,2.918350450401376,5.81294509149344,1.7228055706752716,5.967262727865542,5.967262727865542,-0.5100850366256062,-0.49710148311731256,-0.6731778286815003,-0.6989610823468086
GC,3,2018-08-01,community,test,7.432094451763723,5.81294509149344,1.7228055706752716,5.967262727865542,5.967262727865542,0.24506731435264628,0.2780636490348582,-1.4062223537151743,-1.279905238134522
GC,4,2017-10-01,community,test,3.7419255950585737,5.81294509149344,1.7228055706752716,6.878069748214301,6.878069748214301,-0.455300870605841,-0.35566529718103557,-0.786796824484562,-1.0337651668309704
GC,4,2017-11-01,community,test,3.780823921826887,5.81294509149344,1.7228055706752716,6.878069748214301,6.878069748214301,-0.44965366780589877,-0.3489851162490294,-0.7992776196307538,-1.0527260045400313
GC,4,2017-12-01,community,test,6.062308282774622,5.81294509149344,1.7228055706752716,6.878069748214301,6.878069748214301,-0.11843106926307784,0.042824238828126464,-2.1334241816389987,-3.150651008937468
MR,1,2018-02-01,community,test,4.711141993342172,5.154498884627183,2.52218413812839,5.064469342898378,5.064469342898378,-0.06962843317807825,-0.08584703011645957,-2.664582272390893,-2.455188286104715
MR,1,2018-03-01,community,test,5.222941921503354,5.154498884627183,2.52218413812839,5.064469342898378,5.064469342898378,0.031229389300923737,0.013252599798191574,-3.466395662763916,-4.323561534612533
MR,2,2018-04-01,community,test,5.311159426190808,5.154498884627183,2.52218413812839,6.982324621356835,6.982324621356835,-0.238999944319196,0.030334122450862665,-1.431291960024729,-3.495482046608173
MR,2,2018-06-01,community,test,4.455659733512511,5.154498884627183,2.52218413812839,6.982324621356835,6.982324621356835,-0.3613483390240589,-0.13531596515488847,-1.0179128578485768,-2.0001427525782485
