site_code,collection_period,geographic_range,density
PL,2018-02-01,Unlimited,4.049864498644986
PL,2018-03-01,Local,0.0086021505376344
PL,2018-03-01,Restricted,0.26666666666666666
PL,2018-03-01,Unlimited,0.06881720430107525
PL,2018-04-01,Local,0.34374307862679954
PL,2018-04-01,Restricted,2.005758582502769
PL,2018-04-01,Unlimited,1.963233665559247
PL,2018-05-01,Local,0.10274372446001168
PL,2018-05-01,Restricted,0.14944541739638062
PL,2018-05-01,Unlimited,0.5510799766491535
PL,2018-06-01,Local,0.4382781928139453
PL,2018-06-01,Restricted,0.30167200284596235
PL,2018-06-01,Unlimited,2.032017075773746
PL,2018-08-01,Restricted,0.0353460972017673
PL,2018-08-01,Unlimited,0.21600392734413348
PL,2018-10-01,Local,0.01054713249835201
PL,2018-10-01,Restricted,0.03515710832784003
PL,2018-10-01,Unlimited,0.10547132498352009
PL,2019-03-01,Local,0.00952380952380952
PL,2019-03-01,Restricted,0.10476190476190476
PL,2019-03-01,Unlimited,0.46349206349206346
PL,2019-10-01,Local,0.06037735849056604
PL,2019-10-01,Restricted,0.10566037735849054
PL,2019-10-01,Unlimited,0.5886792452830188
PL,2020-01-01,Local,0.00612674708022209
PL,2020-01-01,Restricted,0.20524602718744017
PL,2020-01-01,Unlimited,0.8363009764503159
PL,2020-06-01,Restricted,0.18267213108300168
PL,2020-06-01,Unlimited,1.0897337474951478
PL,2020-09-01,Local,0.01920399443084161
PL,2020-09-01,Restricted,0.09281930641573446
PL,2020-09-01,Unlimited,0.998607710403764
PL,2020-11-01,Local,0.02761668047500689
PL,2020-11-01,Restricted,0.366907326310806
PL,2020-11-01,Unlimited,2.5210084033613445
SF,2017-03-01,Restricted,0.05729632945389436
SF,2017-03-01,Unlimited,1.0552074007758878
SF,2017-09-01,Local,0.00730343489672486
SF,2017-09-01,Restricted,0.11685495834759783
SF,2017-09-01,Unlimited,0.2994408307657195
SF,2017-11-01,Local,0.02539682539682539
SF,2017-11-01,Restricted,2.5693121693121697
SF,2017-11-01,Unlimited,3.7629629629629626
SF,2017-12-01,Restricted,0.10596026490066225
SF,2017-12-01,Unlimited,0.5695364238410596
SF,2018-02-01,Restricted,0.5097345132743363
SF,2018-02-01,Unlimited,3.431268436578171
SF,2018-04-01,Restricted,0.48403361344537815
SF,2018-04-01,Unlimited,1.0890756302521007
