site_code,collection_period,richness,shannon,simpson
AR,2018-02-01,5,3.3380399107867884,2.7454219860204496
EM,2018-02-01,12,4.643054981681949,3.3387391542475
GC,2018-02-01,13,4.011988104912509,2.2527649240261227
MR,2018-02-01,14,4.711141993342172,3.471130986986271
PD,2018-02-01,7,5.23268409597585,4.305134130412941
PL,2018-02-01,8,3.4758187008129022,2.999269866253218
SF,2018-02-01,5,1.9178521397057304,1.4390421249243472
TR,2018-02-01,6,1.7597726647625325,1.4263322093607802
WM,2018-02-01,12,4.9128671608955825,3.23051705297061
EM,2018-03-01,12,3.202715703073635,2.3083522057212034
MR,2018-03-01,9,5.222941921503354,3.749132218365414
PD,2018-03-01,9,5.782282092371661,4.202992518703241
PL,2018-03-01,9,2.653905843996552,1.7213759766173908
WM,2018-03-01,14,5.785657468650095,3.770090608857651
AR,2018-04-01,4,1.8110547361936726,1.3861794266129406
EM,2018-04-01,7,3.8914885335817404,3.175945501526897
GC,2018-04-01,9,2.840321264082898,1.8235923633757027
MR,2018-04-01,6,5.311159426190808,4.790551181102362
PD,2018-04-01,9,6.31640202725667,4.940494724096177
PL,2018-04-01,11,4.922343259496686,3.5328238832367616
SF,2018-04-01,5,3.9913213729031596,3.442361381411486
TR,2018-04-01,5,2.353785793167406,1.9643675549102448
WM,2018-04-01,8,3.292417427113691,2.0413824465666215
AR,2018-05-01,6,3.5161955131240337,3.0258645426210857
EM,2018-05-01,11,5.414610719037139,4.085671873895526
GC,2018-05-01,9,5.12307920205901,3.6736795871307786
PD,2018-05-01,4,1.9681088596282936,1.6270222999562747
PL,2018-05-01,10,4.429350279838603,3.358293495253416
SF,2018-05-01,6,3.6105230215229773,2.8787358551948232
WM,2018-05-01,8,4.245264469298501,3.278079008520527
AR,2018-06-01,9,5.797222570140776,4.5353230071779365
EM,2018-06-01,7,5.328669610463705,4.643149749658625
GC,2018-06-01,9,4.69054780967919,3.2510510856418824
MR,2018-06-01,5,4.455659733512511,4
PD,2018-06-01,12,5.616228208937962,3.575360027349258
PL,2018-06-01,11,5.292061997613854,4.167004956623342
SF,2018-06-01,5,2.466757955347994,1.9230507270824853
TR,2018-06-01,4,2.8102951626905104,2.4910488779006354
WM,2018-06-01,8,6.040506122715639,4.853211009174312
AR,2018-07-01,4,3.2112654992705223,2.743486973947896
EM,2018-07-01,6,4.860268825015378,3.8571428571428577
GC,2018-07-01,3,2.918350450401376,2.845161290322581
SF,2018-07-01,8,4.9073958783755485,3.4682613597372676
TR,2018-07-01,8,1.8494012832721296,1.3658168230119498
AR,2018-08-01,4,3.7892914162759954,3.571428571428571
GC,2018-08-01,11,7.432094451763723,5.398418527112574
MR,2018-08-01,4,3.3153271337734846,2.8433420365535245
PD,2018-08-01,14,9.870885541320215,8.218951902368989
PL,2018-08-01,8,4.496063744904217,3.068841173578102
AR,2018-09-01,11,6.145218883991631,4.697779754923768
EM,2018-09-01,9,5.72281420824647,4.086792452830189
PD,2018-09-01,12,8.26507939223084,6.5166777201264
SF,2018-09-01,6,2.6680864604972583,1.897976828635656
TR,2018-09-01,3,1.6724082356913903,1.3483432455395072
WM,2018-09-01,12,7.155284997562548,5.154473288993778
PL,2018-10-01,7,5.532391338211098,4.8087841456882705
GC,2018-11-01,8,4.861299551591098,4.169897585954645
AR,2019-03-01,10,7.388759972540689,6.591012302165588
EM,2019-03-01,6,4.401276296416425,3.6112852664576804
GC,2019-03-01,7,5.458895650121771,4.70417193426043
MR,2019-03-01,7,2.7759450021695966,1.9298743413052293
PD,2019-03-01,7,4.173978702955924,2.9887005649717517
PL,2019-03-01,8,4.377188403794057,3.528530159212841
WM,2019-03-01,10,6.055667892079353,4.828162291169451
SF,2019-04-01,12,5.616706052238074,4.167344499451169
AR,2019-09-01,8,5.7850936502743995,4.841166380789023
EM,2019-10-01,9,4.207254518865709,3.324872667328867
GC,2019-10-01,13,5.927291094023509,4.202280103503034
MR,2019-10-01,2,2,2
PD,2019-10-01,14,9.822919120197357,6.755961381877399
PL,2019-10-01,14,7.248845931865664,4.560383567460459
SF,2019-10-01,7,3.662279381670529,2.6182877061935885
TR,2019-10-01,7,6.261200690295415,5.555555555555555
WM,2019-10-01,6,4.226139392981237,3.266666666666667
AR,2020-01-01,7,6.08374448371719,5.527918781725888
EM,2020-01-01,8,3.7249661025517944,2.4419157267646168
GC,2020-01-01,7,5.049491155969658,4.373151308304892
MR,2020-01-01,8,7.35299368362716,6.726708074534161
PD,2020-01-01,11,7.061365756811359,5.505558806319485
PL,2020-01-01,9,4.725450830575684,4.099174556011188
SF,2020-01-01,6,1.651179639294263,1.2814609136425248
TR,2020-01-01,8,2.9650795300588806,2.2459637092416664
WM,2020-01-01,6,4.154188637677895,3.061847700038654
AR,2020-06-01,10,3.515685536878972,2.697682974756048
EM,2020-06-01,7,4.1568487687363564,3.2731354452481916
GC,2020-06-01,9,5.128066921645928,3.723195926760012
MR,2020-06-01,11,9.266573610127303,8.168067226890754
PD,2020-06-01,12,7.8675742204520205,5.946547373250745
PL,2020-06-01,12,6.917306179283255,5.3702639751552805
SF,2020-06-01,10,6.1210414418892665,4.899917747009575
TR,2020-06-01,8,5.321984143745749,3.9269142517209144
WM,2020-06-01,6,4.591366500864601,3.8850624192854064
EM,2020-09-01,9,5.5416726671721745,4.094767025089607
GC,2020-09-01,11,5.967262727865542,4.729738645944064
MR,2020-09-01,9,4.465896954442689,2.6896345116836424
PD,2020-09-01,12,7.4179196886119225,5.8581437189120535
PL,2020-09-01,12,4.6792390155171475,2.861996408710854
SF,2020-09-01,6,3.5568687355760336,2.934785070007926
TR,2020-09-01,7,4.428696444320484,3.40455271357751
WM,2020-09-01,7,5.559499304578608,4.4641350210970465
AR,2020-10-01,10,6.19798307009825,5.056705857871188
AR,2020-11-01,9,5.180649536555959,4.396773928071763
EM,2020-11-01,12,4.990187947062619,3.582722874913614
GC,2020-11-01,12,9.845618599028297,8.67681715874487
MR,2020-11-01,13,5.522007309437168,3.7145001748000084
PL,2020-11-01,12,4.1961094696431385,3.165019375658898
SF,2020-11-01,6,2.9151726065656405,2.279565446121737
TR,2020-11-01,5,2.4219308670899315,1.9125162498584398
WM,2020-11-01,9,4.8708488250774415,3.3504105676544094
