lowest_taxon,site_code,prob_present
L. parva,GC,0
L. parva,MR,0.06666666666666667
L. parva,PD,0
L. parva,PL,0
L. parva,SF,0
L. parva,TR,0.07142857142857142
L. parva,WM,0
M. beryllina,AR,0
M. beryllina,EM,0
M. beryllina,GC,0
M. beryllina,MR,0.13333333333333333
M. beryllina,PD,0
M. beryllina,PL,0
M. beryllina,SF,0
M. beryllina,TR,0
M. beryllina,WM,0.06666666666666667
M. cephalus,AR,0
M. cephalus,EM,0
M. cephalus,GC,0
M. cephalus,MR,0.3333333333333333
M. cephalus,PD,0
M. cephalus,PL,0.11764705882352941
M. cephalus,SF,0
M. cephalus,TR,0
M. cephalus,WM,0
M. salmoides,AR,0.4117647058823529
M. salmoides,EM,0.1875
M. salmoides,GC,0.5882352941176471
M. salmoides,MR,0.2
M. salmoides,PD,0.625
M. salmoides,PL,0.4117647058823529
M. salmoides,SF,0.0625
M. salmoides,TR,0.14285714285714285
M. salmoides,WM,0.3333333333333333
N. gyrinus,AR,0.058823529411764705
N. gyrinus,EM,0.5625
N. gyrinus,GC,0.29411764705882354
N. gyrinus,MR,0.13333333333333333
N. gyrinus,PD,0
N. gyrinus,PL,0.058823529411764705
N. gyrinus,SF,0
N. gyrinus,TR,0
N. gyrinus,WM,0.13333333333333333
N. texanus,AR,0
N. texanus,EM,0.3125
N. texanus,GC,0.5294117647058824
N. texanus,MR,0
N. texanus,PD,0
N. texanus,PL,0
N. texanus,SF,0
N. texanus,TR,0
N. texanus,WM,0.26666666666666666
O. aureus,AR,0
O. aureus,EM,0
O. aureus,GC,0
O. aureus,MR,0
O. aureus,PD,0
O. aureus,PL,0
O. aureus,SF,0.3125
O. aureus,TR,0.42857142857142855
O. aureus,WM,0
P. annularis,AR,0
P. annularis,EM,0.3125
P. annularis,GC,0
P. annularis,MR,0
P. annularis,PD,0
P. annularis,PL,0
P. annularis,SF,0
P. annularis,TR,0
P. annularis,WM,0.06666666666666667
P. crocro,AR,0
P. crocro,EM,0
P. crocro,GC,0
P. crocro,MR,0
P. crocro,PD,0
P. crocro,PL,0.058823529411764705
P. crocro,SF,0
P. crocro,TR,0
P. crocro,WM,0
P. latipinna,AR,0.058823529411764705
P. latipinna,EM,0
P. latipinna,GC,0
P. latipinna,MR,0.7333333333333333
P. latipinna,PD,0.5625
P. latipinna,PL,0.7058823529411764
P. latipinna,SF,1
P. latipinna,TR,1
P. latipinna,WM,0
P. nigromaculatus,AR,0
P. nigromaculatus,EM,0.125
P. nigromaculatus,GC,0
P. nigromaculatus,MR,0
P. nigromaculatus,PD,0
P. nigromaculatus,PL,0
P. nigromaculatus,SF,0
P. nigromaculatus,TR,0
P. nigromaculatus,WM,0
P. olivaris,AR,0
P. olivaris,EM,0.0625
P. olivaris,GC,0
P. olivaris,MR,0
P. olivaris,PD,0
P. olivaris,PL,0
P. olivaris,SF,0
P. olivaris,TR,0
P. olivaris,WM,0.13333333333333333
P. vigilax,AR,0
P. vigilax,EM,0.5625
P. vigilax,GC,0.058823529411764705
P. vigilax,MR,0
P. vigilax,PD,0
P. vigilax,PL,0.058823529411764705
P. vigilax,SF,0.5625
P. vigilax,TR,0
P. vigilax,WM,0.26666666666666666
T. maculatus,AR,0
T. maculatus,EM,0
T. maculatus,GC,0
T. maculatus,MR,0
T. maculatus,PD,0
T. maculatus,PL,0.3529411764705882
T. maculatus,SF,0
T. maculatus,TR,0
T. maculatus,WM,0
