site_code,ymonth,density_com,density_com_delta_at_mu,density_com_delta_at_me,density_com_delta_yr_mu,density_com_delta_yr_me,density_com_delta_qt_mu,density_com_delta_qt_me
AR,2019 Aug,NA,NA,NA,NA,NA,NA,NA
AR,2019 Sep,0.17035892151811777,-0.2589100877973027,-0.20566026313416041,-0.17680136991186762,-0.17680136991186762,-0.04470938681512693,0
AR,2019 Oct,NA,NA,NA,NA,NA,NA,NA
AR,2019 Nov,NA,NA,NA,NA,NA,NA,NA
AR,2019 Dec,NA,NA,NA,NA,NA,NA,NA
AR,2020 Jan,0.13661476644902054,-0.2926542428663999,-0.23940441820325764,-0.42932130447441214,-0.38805954579760654,-0.25928627341390414,-0.31337565654804506
AR,2020 Feb,NA,NA,NA,NA,NA,NA,NA
AR,2020 Mar,NA,NA,NA,NA,NA,NA,NA
AR,2020 Apr,NA,NA,NA,NA,NA,NA,NA
AR,2020 May,NA,NA,NA,NA,NA,NA,NA
AR,2020 Jun,0.7493276230231514,0.3200586137077309,0.3733084383708732,0.1833915520997187,0.22465331077652428,0.3116177160930826,0.3361096145955621
AR,2020 Jul,NA,NA,NA,NA,NA,NA,NA
AR,2020 Aug,NA,NA,NA,NA,NA,NA,NA
AR,2020 Sep,NA,NA,NA,NA,NA,NA,NA
AR,2020 Oct,0.3000210014701029,-0.12924800784531754,-0.07599818318217527,-0.26591506945332977,-0.22465331077652417,-0.42192595591088455,-0.4549719661810926
AR,2020 Nov,1.077780892751456,0.6485118834360356,0.7017617080991778,0.5118448218280234,0.553106580504829,0.3558339353704686,0.32278792510026055
AR,2020 Dec,NA,NA,NA,NA,NA,NA,NA
MR,2017 Mar,NA,NA,NA,NA,NA,NA,NA
MR,2017 Apr,0.09839294572361307,-0.20740329000202828,-0.01898157165090425,-0.40542055482821465,-0.36807392074325335,0.013154895110144865,0.006932321918410325
MR,2017 May,NA,NA,NA,NA,NA,NA,NA
MR,2017 Jun,NA,NA,NA,NA,NA,NA,NA
MR,2017 Jul,NA,NA,NA,NA,NA,NA,NA
MR,2017 Aug,NA,NA,NA,NA,NA,NA,NA
MR,2017 Sep,NA,NA,NA,NA,NA,NA,NA
MR,2017 Oct,0.2783882783882784,-0.027407957337362954,0.16101376101376108,-0.22542522216354932,-0.18807858807858802,-0.17753156906422118,-0.06185994255116417
MR,2017 Nov,0.983927323549965,0.6781310878243236,0.8665528061754477,0.4801138229981373,0.5174604570830986,0.5280074760974655,0.6436791026105224
MR,2017 Dec,0.6545454545454544,0.3487492188198131,0.5371709371709371,0.1507319539936267,0.18807858807858802,0.19862560709295485,0.31429723360601186
MR,2018 Jan,NA,NA,NA,NA,NA,NA,NA
MR,2018 Feb,1.4031413612565442,1.0973451255309028,1.2857668438820269,1.0652564315925015,1.3186130593697518,0.9548458487891746,1.238793725210795
MR,2018 Mar,0.11737451737451732,-0.18842171835112403,0,-0.22051041228952534,0.0328462154877249,-0.33092099509285233,-0.046973118671231884
MR,2018 Apr,0.08452830188679242,-0.22126793383884893,-0.0328462154877249,-0.2533566277772502,0,-7.097487266757851e-4,-0.006932321918410325
MR,2018 May,NA,NA,NA,NA,NA,NA,NA
MR,2018 Jun,0.048484848484848436,-0.25731138724079294,-0.06888966888966888,-0.28940008117919425,-0.03604345340194398,-0.036753202128619766,-0.042975775320354306
MR,2018 Jul,NA,NA,NA,NA,NA,NA,NA
MR,2018 Aug,0.0358956193175109,-0.26990061640813046,-0.08147889805700642,-0.30198931034653176,-0.048632682569281514,-0.050709403831874604,-0.050709403831874604
MR,2018 Sep,NA,NA,NA,NA,NA,NA,NA
MR,2018 Oct,NA,NA,NA,NA,NA,NA,NA
MR,2018 Nov,NA,NA,NA,NA,NA,NA,NA
MR,2018 Dec,NA,NA,NA,NA,NA,NA,NA
MR,2019 Jan,NA,NA,NA,NA,NA,NA,NA
MR,2019 Feb,NA,NA,NA,NA,NA,NA,NA
MR,2019 Mar,0.21132075471698109,-0.09447548100866027,0.09394623734246377,0.09441539743881183,0.09441539743881183,-0.23697475775038856,0.046973118671231884
MR,2019 Apr,NA,NA,NA,NA,NA,NA,NA
MR,2019 May,NA,NA,NA,NA,NA,NA,NA
MR,2019 Jun,NA,NA,NA,NA,NA,NA,NA
MR,2019 Jul,NA,NA,NA,NA,NA,NA,NA
MR,2019 Aug,NA,NA,NA,NA,NA,NA,NA
MR,2019 Sep,NA,NA,NA,NA,NA,NA,NA
MR,2019 Oct,0.02248995983935742,-0.28330627588628393,-0.0948845575351599,-0.09441539743881183,-0.09441539743881183,-0.43342988761314216,-0.31775826110008515
MR,2019 Nov,NA,NA,NA,NA,NA,NA,NA
MR,2019 Dec,NA,NA,NA,NA,NA,NA,NA
MR,2020 Jan,0.061345416521436,-0.24445081920420536,-0.05602910085308132,-0.10076812617875341,-0.062084850148503505,-0.38695009594593366,-0.10300221952431321
MR,2020 Feb,NA,NA,NA,NA,NA,NA,NA
MR,2020 Mar,NA,NA,NA,NA,NA,NA,NA
MR,2020 Apr,NA,NA,NA,NA,NA,NA,NA
MR,2020 May,NA,NA,NA,NA,NA,NA,NA
MR,2020 Jun,0.10954610635861889,-0.19625012936702246,-0.007828411015898429,-0.05256743634157052,-0.013884160311320615,0.024308055745150686,0.018085482553416146
MR,2020 Jul,NA,NA,NA,NA,NA,NA,NA
MR,2020 Aug,NA,NA,NA,NA,NA,NA,NA
MR,2020 Sep,0.13731442698126012,-0.16848180874438123,0.0199399096067428,-0.024799115718929288,0.013884160311320615,0.05070940383187461,0.05070940383187461
MR,2020 Oct,NA,NA,NA,NA,NA,NA,NA
MR,2020 Nov,0.34024822093944257,0.03445198521380122,0.22287370356492525,0.17813467823925316,0.21681795426950307,-0.11567162651305701,0
MR,2020 Dec,NA,NA,NA,NA,NA,NA,NA
PD,2017 Mar,0.1775410563692854,-0.13242107835277062,-0.031114833422853178,-0.06348385471588097,0.012580051994166536,0.00378926500137558,0
PD,2017 Apr,NA,NA,NA,NA,NA,NA,NA
PD,2017 May,NA,NA,NA,NA,NA,NA,NA
PD,2017 Jun,NA,NA,NA,NA,NA,NA,NA
PD,2017 Jul,NA,NA,NA,NA,NA,NA,NA
PD,2017 Aug,NA,NA,NA,NA,NA,NA,NA
PD,2017 Sep,NA,NA,NA,NA,NA,NA,NA
PD,2017 Oct,0.15238095238095234,-0.1575811823411037,-0.05627493741118625,-0.08864395870421404,-0.012580051994166536,-0.10683647238967048,-0.04896507936507935
PD,2017 Nov,0.14646464646464646,-0.16349748825740956,-0.062191243327492124,-0.09456026462051992,-0.01849635791047241,-0.11275277830597635,-0.054881385281385225
PD,2017 Dec,0.4877129891257813,0.1777508544037253,0.27905709933364276,0.24668807804061493,0.32275198475066247,0.2284955643551585,0.2863669573797496
PD,2018 Jan,NA,NA,NA,NA,NA,NA,NA
PD,2018 Feb,0.21480629075565782,-0.0951558439663982,0.006150400963519237,-0.13191701145432594,0,0.041054499387747995,0.037265234386372414
PD,2018 Mar,0.17300521998508572,-0.1369569147369703,-0.035650669807052865,-0.17371808222489804,-0.0418010707705721,-7.465713828241072e-4,-0.004535836384199687
PD,2018 Apr,0.17733664185277084,-0.13262549286928518,-0.031319247939367745,-0.16938666035721292,-0.03746964890288698,-0.10002411566564032,-0.02855395063164981
PD,2018 May,0.18624338624338624,-0.12371874847866979,-0.02241250354875235,-0.16047991596659753,-0.028562904512271586,-0.09111737127502492,-0.019647206241034415
PD,2018 Jun,0.5203252032520326,0.21036306852997655,0.311669313459894,0.1736019010420488,0.30551891249637475,0.24296444573362141,0.3144346107676119
PD,2018 Jul,NA,NA,NA,NA,NA,NA,NA
PD,2018 Aug,0.5482541747993928,0.23829204007733673,0.3395982850072542,0.201530872589409,0.33344788404373493,-0.0998533150530111,-0.058838023782167514
PD,2018 Sep,0.6070921985815603,0.29713006385950425,0.3984363087894217,0.2603688963715765,0.39228590782590245,-0.04101529127084358,0
PD,2018 Oct,NA,NA,NA,NA,NA,NA,NA
PD,2018 Nov,NA,NA,NA,NA,NA,NA,NA
PD,2018 Dec,NA,NA,NA,NA,NA,NA,NA
PD,2019 Jan,NA,NA,NA,NA,NA,NA,NA
PD,2019 Feb,NA,NA,NA,NA,NA,NA,NA
PD,2019 Mar,0.10090090090090087,-0.20906123382115516,-0.10775498889123772,-0.07470510510510509,-0.07470510510510509,-0.07285089046700896,-0.07664015546838454
PD,2019 Apr,NA,NA,NA,NA,NA,NA,NA
PD,2019 May,NA,NA,NA,NA,NA,NA,NA
PD,2019 Jun,NA,NA,NA,NA,NA,NA,NA
PD,2019 Jul,NA,NA,NA,NA,NA,NA,NA
PD,2019 Aug,NA,NA,NA,NA,NA,NA,NA
PD,2019 Sep,NA,NA,NA,NA,NA,NA,NA
PD,2019 Oct,0.25031111111111104,-0.059651023610944987,0.04165522131897245,0.07470510510510509,0.07470510510510509,-0.008906313659511778,0.04896507936507935
PD,2019 Nov,NA,NA,NA,NA,NA,NA,NA
PD,2019 Dec,NA,NA,NA,NA,NA,NA,NA
PD,2020 Jan,0.20250548882861935,-0.10745664589343668,-0.006150400963519237,-0.20316763908149166,-0.023032309896835745,0.02875369746070952,0.02496443245933394
PD,2020 Feb,NA,NA,NA,NA,NA,NA,NA
PD,2020 Mar,NA,NA,NA,NA,NA,NA,NA
PD,2020 Apr,NA,NA,NA,NA,NA,NA,NA
PD,2020 May,NA,NA,NA,NA,NA,NA,NA
PD,2020 Jun,0.2255377987254551,-0.08442433599660093,0.01688190893331651,-0.1801353291846559,0,-0.051822958792956064,0.019647206241034443
PD,2020 Jul,NA,NA,NA,NA,NA,NA,NA
PD,2020 Aug,NA,NA,NA,NA,NA,NA,NA
PD,2020 Sep,0.7889760961762586,0.4790139614542026,0.5803202063841201,0.3833029682661476,0.5634382974508035,0.14086860632385478,0.18188389759469836
PD,2020 Oct,NA,NA,NA,NA,NA,NA,NA
PD,2020 Nov,NA,NA,NA,NA,NA,NA,NA
PD,2020 Dec,NA,NA,NA,NA,NA,NA,NA
PL,2017 Mar,NA,NA,NA,NA,NA,NA,NA
PL,2017 Apr,1.2456375838926175,-0.32739254066338486,0.1594535478279131,-0.12130175986326042,0.07972677391395666,-0.8355654519271389,-0.0267682946855321
PL,2017 May,NA,NA,NA,NA,NA,NA,NA
PL,2017 Jun,NA,NA,NA,NA,NA,NA,NA
PL,2017 Jul,NA,NA,NA,NA,NA,NA,NA
PL,2017 Aug,NA,NA,NA,NA,NA,NA,NA
PL,2017 Sep,NA,NA,NA,NA,NA,NA,NA
PL,2017 Oct,0.2992207792207792,-1.273809345335223,-0.7869632568439251,-1.0677185645350986,-0.8666900307578815,-1.0413700121491938,-0.6212297293776106
PL,2017 Nov,2.8367149758454104,1.263684851289408,1.750530939780706,1.4697756320895325,1.6708041658667496,1.4961241844754374,1.9162644672470206
PL,2017 Dec,1.0861840360647044,-0.48684608849129796,0,-0.2807553076911735,-0.07972677391395644,-0.2544067553052687,0.16573352746631453
PL,2018 Jan,NA,NA,NA,NA,NA,NA,NA
PL,2018 Feb,4.9604336043360435,3.3874034797800414,3.874249568271339,3.01828832821818,4.1571644858304975,3.2279408157517495,4.147707840088166
PL,2018 Mar,0.3440860215053763,-1.228944103050626,-0.7420980145593281,-1.5980592546124877,-0.4591830970001695,-1.3884067670789177,-0.4686397427425016
PL,2018 Apr,4.3127353266888155,2.7397052021328134,3.226551290624111,2.370590050570952,3.5094662081832695,2.231532290869059,3.0403294481106657
PL,2018 May,0.8032691185055458,-0.7697610060504565,-0.28291491755915854,-1.138876157612318,0,-1.2779339173142106,-0.46913676007260374
PL,2018 Jun,2.771967271433654,1.1989371468776515,1.6857832353689495,0.8298219953157899,1.968698152928108,0.6907642356138974,1.4995613928555043
PL,2018 Jul,NA,NA,NA,NA,NA,NA,NA
PL,2018 Aug,0.2513500245459008,-1.3216801000101015,-0.8348340115188035,-1.690795251571963,-0.551919093959645,-0.4296404933522197,-0.4296404933522197
PL,2018 Sep,NA,NA,NA,NA,NA,NA,NA
PL,2018 Oct,0.15117556580971214,-1.4218545587462903,-0.9350084702549922,-1.7909697103081519,-0.6520935526958337,-1.189415225560261,-0.7692749427886777
PL,2018 Nov,NA,NA,NA,NA,NA,NA,NA
PL,2018 Dec,NA,NA,NA,NA,NA,NA,NA
PL,2019 Jan,NA,NA,NA,NA,NA,NA,NA
PL,2019 Feb,NA,NA,NA,NA,NA,NA,NA
PL,2019 Mar,0.5777777777777777,-0.9952523467782246,-0.5084062582869266,-0.0884696016771489,-0.0884696016771489,-1.1547150108065163,-0.23494798647010018
PL,2019 Apr,NA,NA,NA,NA,NA,NA,NA
PL,2019 May,NA,NA,NA,NA,NA,NA,NA
PL,2019 Jun,NA,NA,NA,NA,NA,NA,NA
PL,2019 Jul,NA,NA,NA,NA,NA,NA,NA
PL,2019 Aug,NA,NA,NA,NA,NA,NA,NA
PL,2019 Sep,NA,NA,NA,NA,NA,NA,NA
PL,2019 Oct,0.7547169811320754,-0.8183131434239269,-0.33146705493262896,0.08846960167714879,0.08846960167714879,-0.5858738102378976,-0.16573352746631442
PL,2019 Nov,NA,NA,NA,NA,NA,NA,NA
PL,2019 Dec,NA,NA,NA,NA,NA,NA,NA
PL,2020 Jan,1.047673750717978,-0.5253563738380242,-0.03851028534672629,-0.5388870119554281,-0.14384469419626678,-0.6848190378663159,0.23494798647010018
PL,2020 Feb,NA,NA,NA,NA,NA,NA,NA
PL,2020 Mar,NA,NA,NA,NA,NA,NA,NA
PL,2020 Apr,NA,NA,NA,NA,NA,NA,NA
PL,2020 May,NA,NA,NA,NA,NA,NA,NA
PL,2020 Jun,1.2724058785781496,-0.30062424597785276,0.1862218425134452,-0.3141548840952566,0.08088743366390472,-0.8087971572416068,0
PL,2020 Jul,NA,NA,NA,NA,NA,NA,NA
PL,2020 Aug,NA,NA,NA,NA,NA,NA,NA
PL,2020 Sep,1.1106310112503401,-0.4623991133056622,0.024446975185635766,-0.47592975142306604,-0.08088743366390472,0.42964049335221965,0.42964049335221965
PL,2020 Oct,NA,NA,NA,NA,NA,NA,NA
PL,2020 Nov,2.9155324101471574,1.342502285591155,1.829348374082453,1.3289716474737512,1.7240139652329125,1.5749416187771843,1.9950819015487675
PL,2020 Dec,NA,NA,NA,NA,NA,NA,NA
GC,2017 Mar,NA,NA,NA,NA,NA,NA,NA
GC,2017 Apr,0.3647058823529411,-0.07605405173492064,-0.05040084999517053,-0.057606093616766885,-0.12571402990419916,-0.009173604535874236,0
GC,2017 May,NA,NA,NA,NA,NA,NA,NA
GC,2017 Jun,NA,NA,NA,NA,NA,NA,NA
GC,2017 Jul,NA,NA,NA,NA,NA,NA,NA
GC,2017 Aug,NA,NA,NA,NA,NA,NA,NA
GC,2017 Sep,NA,NA,NA,NA,NA,NA,NA
GC,2017 Oct,0.05374773181320874,-0.387012202274653,-0.3613590005349029,-0.36856424415649924,-0.4366721804439315,-0.4189305038694068,-0.5319738548602917
GC,2017 Nov,0.6546603475513427,0.213900413463481,0.2395536152032311,0.23234837158163474,0.16424043529420246,0.1819821118687272,0.06893876087784223
GC,2017 Dec,0.6161339421613394,0.1753740080734777,0.2010272098132278,0.19382196619163145,0.12571402990419916,0.1434557064787239,0.030412355487838938
GC,2018 Jan,NA,NA,NA,NA,NA,NA,NA
GC,2018 Feb,0.5346246973365616,0.09386476324869986,0.11951796498844997,0.020125494408852473,0.11951796498844997,0.2925035268596,0.40783224450637295
GC,2018 Mar,NA,NA,NA,NA,NA,NA,NA
GC,2018 Apr,0.42975206611570244,-0.011007867972159302,0.014645333767590807,-0.08474713681200668,0.014645333767590807,0.0558725792268871,0.06504618376276133
GC,2018 May,0.41510673234811163,-0.02565320173975011,0,-0.09939247057959749,0,0.04122724545929629,0.05040084999517053
GC,2018 Jun,0.3462686567164179,-0.09449127737144386,-0.06883807563169375,-0.16823054621129124,-0.06883807563169375,-0.02761083017239746,-0.018437225636523225
GC,2018 Jul,0.01882352941176469,-0.42193640467609705,-0.39628320293634695,-0.49567567351594444,-0.39628320293634695,-0.6682059770959003,-0.42558623281742836
GC,2018 Aug,1.5978552278820375,1.1570952937941756,1.1827484955339258,1.0833560249543284,1.1827484955339258,0.9108257213743725,1.1534454656528443
GC,2018 Sep,NA,NA,NA,NA,NA,NA,NA
GC,2018 Oct,NA,NA,NA,NA,NA,NA,NA
GC,2018 Nov,0.25906351068336847,-0.18169642340449327,-0.15604322166474316,-0.25543569224434065,-0.15604322166474316,-0.21361472499924705,-0.326658075990132
GC,2018 Dec,NA,NA,NA,NA,NA,NA,NA
