site_code,collection_period,axis1,axis2,centroid_dist
TR,2017-04-01,0.4312447727951934,0.0046538164497593555,0.4397743613310335
TR,2017-10-01,1.2740280670998396,0.35581840608812504,0.3618375097702775
TR,2017-11-01,1.1823006877584692,-0.22535650514687242,0.43194024685991717
TR,2017-12-01,0.8028677498652759,-1.4557382390841829,0.2976735973134044
TR,2018-02-01,1.031676279430996,-1.3361434526516371,0.5589996054029642
TR,2018-04-01,1.0783976795155652,-1.1394169484264125,0.5646796844843832
TR,2018-06-01,1.2450349199670445,-0.7616658471071813,0.2721749310139051
TR,2018-07-01,1.248172836538458,0.2585114460607009,0.46687835625781254
TR,2018-09-01,1.1355749150428607,0.04535142861778635,0.8277994848600442
WM,2017-10-01,-0.22353936634386198,0.019451728476533283,0.860705266771449
