site_code,qtr,collection_period,com,is_baseline,cdis,cdis_b_all,cdis_sd20,cdis_b_qtr,cdis_b_qtr_fill,cdis_RR_b_qtr,cdis_RR_b_all,cdis_LRR_b_qtr,cdis_LRR_b_all
PD,4,2017-10-01,community,test,0.8386607789296836,0.33658351294602323,0.24760899558649221,0.20897242665604954,0.20897242665604954,2.8756513406261677,1.4486472876794159,1.0562792018512748,0.37063021595706047
PD,4,2017-11-01,community,test,1.070855392462579,0.33658351294602323,0.24760899558649221,0.20897242665604954,0.20897242665604954,3.936034225717059,2.1186001413486477,1.3701736747103967,0.7507555598982059
PD,4,2017-12-01,community,test,0.856619150782282,0.33658351294602323,0.24760899558649221,0.20897242665604954,0.20897242665604954,2.9576633643628663,1.5004627121926855,1.0843995526611496,0.4057735353347206
PL,1,2018-02-01,community,test,0.20231634125307885,0.38723936131635467,0.30389461689150843,0.28424538219913154,0.28424538219913154,-0.2784378138196471,-0.46552038410918267,-1.2785605342437147,-0.7645993935155231
PL,1,2018-03-01,community,test,0.3349897403083063,0.38723936131635467,0.30389461689150843,0.28424538219913154,0.28424538219913154,0.1724559200553005,-0.1315318321802397,-1.757613611076888,-2.0285063868467788
PL,2,2018-04-01,community,test,0.31666468340579695,0.38723936131635467,0.30389461689150843,0.2825602446798272,0.2825602446798272,0.11657236191914264,-0.17766285213200017,-2.1492430664460844,-1.727867613891249
PL,2,2018-05-01,community,test,0.28853153845413326,0.38723936131635467,0.30389461689150843,0.2825602446798272,0.2825602446798272,0.020410475732411733,-0.2484844969419135,-3.8917069936416455,-1.3923748219432315
PL,2,2018-06-01,community,test,0.2590448498226085,0.38723936131635467,0.30389461689150843,0.2825602446798272,0.2825602446798272,-0.08037795730911267,-0.3227135172832338,-2.5210153032086953,-1.1309902927220667
PL,3,2018-08-01,community,test,0.23210427031082412,0.38723936131635467,0.30389461689150843,0.20181315330422314,0.20181315330422314,0.1430086684139697,-0.39053302898144476,-1.9448500322799351,-0.9402427320206881
PL,4,2017-10-01,community,test,0.0973906263931181,0.38723936131635467,0.30389461689150843,0.5874968278228989,0.5874968278228989,-0.8202657798461999,-0.7296576400756167,-0.1981268694762913,-0.3151798410459087
PL,4,2017-11-01,community,test,0.3782363326441118,0.38723936131635467,0.30389461689150843,0.5874968278228989,0.5874968278228989,-0.3502286295665707,-0.02266398939523276,-1.0491691104257264,-3.786977984366458
PL,4,2017-12-01,community,test,0.464472358314595,0.38723936131635467,0.30389461689150843,0.5874968278228989,0.5874968278228989,-0.20589978687680832,0.1944243308173413,-1.580365700029996,-1.6377122362620549
SF,1,2018-02-01,community,test,0.5817190843678071,0.4374092816013497,0.27067717500517097,0.2974446831619027,0.2974446831619027,0.924635932169311,0.32254539344814087,-0.0783552057893315,-1.1315113977733922
SF,2,2018-04-01,community,test,0.152650102365343,0.4374092816013497,0.27067717500517097,0.4082234459236965,0.4082234459236965,-0.6110928166494569,-0.6364623867810875,-0.4925064219376946,-0.45182995655468494
SF,2,2018-05-01,community,test,0.30256666947434396,0.4374092816013497,0.27067717500517097,0.4082234459236965,0.4082234459236965,-0.2526323607132951,-0.30138537055910497,-1.3758199667672568,-1.1993655322587218
SF,2,2018-06-01,community,test,0.2564729487684159,0.4374092816013497,0.27067717500517097,0.4082234459236965,0.4082234459236965,-0.36284550432155105,-0.40440898361637373,-1.0137781432436592,-0.9053285774031028
SF,3,2017-09-01,community,test,0.3256962781209231,0.4374092816013497,0.27067717500517097,0.3548971360437004,0.3548971360437004,-0.08002490301617536,-0.24968861414896842,-2.525417405046028,-1.387540680857908
SF,3,2018-07-01,community,test,0.4641174530388448,0.4374092816013497,0.27067717500517097,0.3548971360437004,0.3548971360437004,0.2993180987369111,0.059695166228787795,-1.2062483957315162,-2.8185042295536378
SF,4,2017-11-01,community,test,0.46928148894994143,0.4374092816013497,0.27067717500517097,0.6890718612760991,0.6890718612760991,-0.3144031171916262,0.07123725112388371,-1.1570793037446006,-2.6417394074381595
SF,4,2017-12-01,community,test,0.23877315677486777,0.4374092816013497,0.27067717500517097,0.6890718612760991,0.6890718612760991,-0.6441379340877024,-0.4439696112595861,-0.43984239244576845,-0.8119991620012891
TR,1,2018-02-01,community,test,0.6045093494302902,0.3861989885667976,0.19745922355809134,0.38374062720764013,0.38374062720764013,0.5606958158936115,0.5510119085694899,-0.5785767381710407,-0.5959988574139705
TR,2,2018-04-01,community,test,0.5507300768301155,0.3861989885667976,0.19745922355809134,0.34098143876777137,0.34098143876777137,0.597606069422735,0.4152738725015162,-0.5148234888852269,-0.8788170426733594
TR,2,2018-06-01,community,test,0.31303276563556254,0.3861989885667976,0.19745922355809134,0.34098143876777137,0.34098143876777137,-0.07963006029700964,-0.1846703930161586,-2.5303636154983318,-1.6891827023186896
TR,3,2018-07-01,community,test,0.20519380480072674,0.3861989885667976,0.19745922355809134,0.2638738995515427,0.2638738995515427,-0.21425953640307538,-0.45685422979204315,-1.5405672118620262,-0.7833909109789822
TR,4,2017-10-01,community,test,0.38694707848086224,0.3861989885667976,0.19745922355809134,0.5549708080606574,0.5549708080606574,-0.29740249793889434,0.0018881671474497964,-1.212668845734818,-6.272148683689269
TR,4,2017-11-01,community,test,0.355995293986469,0.3861989885667976,0.19745922355809134,0.5549708080606574,0.5549708080606574,-0.35218724796985545,-0.07623364887827407,-1.0435922903618402,-2.57395232743103
TR,4,2017-12-01,community,test,0.41604004008391815,0.3861989885667976,0.19745922355809134,0.5549708080606574,0.5549708080606574,-0.24590786991922436,0.07531834350478028,-1.402798325720582,-2.586031568202153
WM,1,2018-02-01,community,test,0.7470789036315095,0.7259272757761596,0.19641511439174908,0.8333533656165534,0.8333533656165534,-0.10229930359259415,0.028741464750089606,-2.279852413549251,-3.5494144340736042
WM,1,2018-03-01,community,test,0.40721474488039344,0.7259272757761596,0.19641511439174908,0.8333533656165534,0.8333533656165534,-0.5052907098136986,-0.43307612231063175,-0.6826213523397358,-0.8368417643279504
WM,2,2018-04-01,community,test,0.7055235052769937,0.7259272757761596,0.19641511439174908,0.45565540257579645,0.45565540257579645,0.5365944458478076,-0.02772525379990386,-0.6225126916818864,-3.5854115915981066
WM,2,2018-05-01,community,test,0.7778617031008894,0.7259272757761596,0.19641511439174908,0.45565540257579645,0.45565540257579645,0.6919415059780096,0.07057005363737366,-0.3682538558707512,-2.651149393910545
WM,2,2018-06-01,community,test,1.0040569296870565,0.7259272757761596,0.19641511439174908,0.45565540257579645,0.45565540257579645,1.1776981950123402,0.37793089489387693,0.16356185122628702,-0.9730439178168159
WM,4,2017-10-01,community,test,0.4092763785838878,0.7259272757761596,0.19641511439174908,0.8554087223576046,0.8554087223576046,-0.5155163476493894,-0.4302747127537975,-0.6625862638079842,-0.8433314074137944
WM,4,2017-11-01,community,test,0.28435633949653677,0.7259272757761596,0.19641511439174908,0.8554087223576046,0.8554087223576046,-0.6598643717218017,-0.6000197992578977,-0.4157209624703574,-0.510792625547275
WM,4,2017-12-01,community,test,0.4400193474032787,0.7259272757761596,0.19641511439174908,0.8554087223576046,0.8554087223576046,-0.4799921288321364,-0.3885002469453829,-0.733985573481036,-0.9454614735365858
