site_code,term,L_mu_com
PD,ln_q_min,-0.06434129653742313
PD,bluegreen_cyano,0.04917337515997219
PD,diatoms,0.03043391313184922
PD,year,-0.018730397676681994
PD,nitrate,-0.011264447918195628
MR,phosphate,0.5978076960268652
MR,year,0.5768826260827995
MR,q_LFPP,-0.5069227881698304
MR,ln_q_HFPP7,0.48623450964879084
MR,q_HFPP3,0.4834489501541719
MR,ln_q_mu,-0.47549025658274024
MR,ln_q_q75,-0.45842565951945136
MR,gravel,-0.4345214086095486
MR,ln_q_med,-0.4281991446971721
MR,ln_q_HFPP15,0.4257847036120728
MR,ln_q_q25,-0.3987459945913738
MR,month,-0.38408518430083943
MR,nday,-0.38274640562495904
MR,ln_q_max,-0.36894094542511074
MR,ln_q_sd,-0.3578868309632744
MR,d_oxygen,-0.35688303341354016
