site_code,collection_period,richness,shannon,simpson
MR,2018-04-01,6,1.6732924253492034,1.316797662899759
MR,2018-06-01,5,1.6797438374140727,1.2781326781326783
MR,2018-08-01,4,2.672696154421018,2.0571428571428574
MR,2019-03-01,7,4.8884361614455205,3.9199999999999995
MR,2019-10-01,2,1.2934572090113128,1.1529411764705884
MR,2020-01-01,8,1.873784637470449,1.3743218806509947
MR,2020-06-01,11,4.447215365212203,3.3899879503477823
MR,2020-09-01,9,3.123381132600044,2.050433952170203
MR,2020-11-01,13,4.9905347902429265,3.751599897341645
PD,2017-10-01,9,5.549792060129522,4.670763382958504
PD,2017-11-01,8,2.704953759859698,1.9586857694744677
PD,2017-12-01,10,5.652036317209947,4.711417578844695
PD,2018-02-01,7,3.5350519853701003,2.7979749606622426
PD,2018-03-01,9,4.110359422252728,3.108911685149136
PD,2018-04-01,9,2.118184298558453,1.4865813741099643
PD,2018-05-01,4,3.878142667365748,3.753191489361703
PD,2018-06-01,12,5.624462575409531,3.6659345378692603
PD,2018-08-01,15,5.806690465874147,4.128742004841043
PD,2018-09-01,12,5.235539151584234,3.7889265367503446
PD,2019-03-01,7,4.035582088613773,2.9917184265010346
PD,2019-10-01,14,5.128061863172201,3.47958080950262
PD,2020-01-01,11,6.063529368943316,4.804670100698192
PD,2020-06-01,12,5.224339921932187,3.7608937830633824
PD,2020-09-01,12,5.807227728814853,4.942105342719974
PL,2017-10-01,8,4.135538738502349,3.4577923907938
PL,2017-11-01,13,4.464447045301197,2.777831238775522
PL,2017-12-01,8,4.055216369875783,2.77311176435299
PL,2018-02-01,8,2.0885907441152276,1.434883578427787
PL,2018-03-01,9,3.86199016239909,2.637786917871832
PL,2018-04-01,11,5.284061237079775,3.519219862637459
PL,2018-05-01,10,5.6906111397507715,4.233150679876754
PL,2018-06-01,11,4.779963921472567,3.3052519818352986
PL,2018-08-01,8,4.654098609601739,3.1760814249363865
PL,2018-10-01,7,4.056853346670125,3.0964295022152726
PL,2019-03-01,8,4.05074716845631,2.7528505678007256
PL,2019-10-01,14,6.416169499711085,4.954197837137893
PL,2020-01-01,9,5.513682877119149,4.001542066368934
PL,2020-06-01,12,4.867183857992696,3.6316879702960105
PL,2020-09-01,12,4.228538101231236,3.130539177501515
PL,2020-11-01,12,5.216493536151274,3.623315032980451
SF,2017-09-01,7,1.5760424351466413,1.242768687363023
SF,2017-11-01,8,1.9824769555503554,1.5364882359321779
SF,2017-12-01,5,2.360798305300243,2.1453535583200702
SF,2018-02-01,5,1.9750266040790008,1.6387870185831268
SF,2018-04-01,5,4.113569772848096,3.5353019442894547
SF,2018-05-01,6,2.474989768828595,1.705342940020586
SF,2018-06-01,5,2.254561364237601,2.0819782202731902
SF,2018-07-01,8,4.275033815426759,3.1428571428571432
SF,2018-09-01,6,3.9587539925823045,2.990430622009569
SF,2019-04-01,12,6.6600304396607495,4.986656237058851
SF,2019-10-01,7,3.170673725158797,2.5684470082141377
SF,2020-01-01,6,2.366932038140446,1.7973634093215798
SF,2020-06-01,10,2.566533140859071,1.9276907557191374
SF,2020-09-01,6,2.2236448510634617,1.673901973006115
SF,2020-11-01,6,2.8259926998644986,2.234936942597189
TR,2017-10-01,4,1.1765967790829879,1.0630835924063131
TR,2017-11-01,9,5.053786821971007,3.889369057908384
