site_code,qtr,collection_period,com,is_baseline,AFDM,AFDM_b_all,AFDM_sd20,AFDM_b_qtr,AFDM_b_qtr_fill,AFDM_RR_b_qtr,AFDM_RR_b_all,AFDM_LRR_b_qtr,AFDM_LRR_b_all
PD,4,2017-12-01,community,test,0.8297350280465929,1.1870719371398168,1.124908026810401,1.2317216298101346,1.2317216298101346,-0.3237332684822502,-0.29850913550526853,-1.1278353476675715,-1.2089547419100275
PL,1,2018-02-01,community,test,4.136811716020123,1.7830790546743218,1.4367340079556508,0.5641673974035509,0.5641673974035509,6.222304392016106,1.3126764574099112,1.8281403191714647,0.27206815018777675
PL,1,2018-03-01,community,test,0.13645476425201097,1.7830790546743218,1.4367340079556508,0.5641673974035509,0.5641673974035509,-0.7449267149017939,-0.9183221933967592,-0.29446943470048753,-0.08520697673924826
PL,2,2018-04-01,community,test,3.0086253550560245,1.7830790546743218,1.4367340079556508,3.956105456496204,3.956105456496204,-0.23889432891610918,0.6834870426860792,-1.431733963248962,-0.3805475802969041
PL,2,2018-05-01,community,test,0.4742925699403146,1.7830790546743218,1.4367340079556508,3.956105456496204,3.956105456496204,-0.8778921601423691,-0.7299100847350665,-0.13023151732977462,-0.31483392402174354
PL,2,2018-06-01,community,test,3.8250367110561623,1.7830790546743218,1.4367340079556508,3.956105456496204,3.956105456496204,-0.03304721643882671,1.1387995699680529,-3.409817938959765,0.12997469880317472
PL,3,2018-08-01,community,test,0.07577307020292992,1.7830790546743218,1.4367340079556508,2.716000062850776,2.716000062850776,-0.9685351914066976,-0.9521643677788043,-0.03197046080482751,-0.04901760386413409
PL,4,2017-10-01,community,test,0.4252702604160671,1.7830790546743218,1.4367340079556508,1.5603710228553904,1.5603710228553904,-0.7228232983918542,-0.7572498215952193,-0.32459048725857437,-0.2780620646704348
PL,4,2017-11-01,community,test,2.329654757990462,1.7830790546743218,1.4367340079556508,1.5603710228553904,1.5603710228553904,0.4898738730776441,0.3048252121908898,-0.7136073228933741,-1.1880167414288096
PL,4,2017-12-01,community,test,0.6419587877926789,1.7830790546743218,1.4367340079556508,1.5603710228553904,1.5603710228553904,-0.584837736876201,-0.6364026526922458,-0.5364208430864422,-0.4519238142489935
SF,1,2018-02-01,community,test,1.2394780916582246,4.528625628792406,9.432311449490216,1.1864112459053364,1.1864112459053364,0.04435502084630775,-0.7247012215037719,-3.1155293670219226,-0.3219958173380722
SF,2,2018-04-01,community,test,0.28547375943334086,4.528625628792406,9.432311449490216,13.579101569108548,13.579101569108548,-0.9782565640612307,-0.9348979661246135,-0.021983307910313495,-0.06731788278770034
SF,2,2018-05-01,community,test,0.132351954659759,4.528625628792406,9.432311449490216,13.579101569108548,13.579101569108548,-0.9895245499538129,-0.9686354490758836,-0.010530703783609548,-0.03186695142142026
SF,2,2018-06-01,community,test,0.9435705039789677,4.528625628792406,9.432311449490216,13.579101569108548,13.579101569108548,-0.9298282893001054,-0.7898988411977296,-0.07275534504318215,-0.23585039083685597
SF,3,2017-09-01,community,test,1.8684197606708846,4.528625628792406,9.432311449490216,0.3298041291800568,0.3298041291800568,4.527948601458989,-0.5861258640160906,1.5102689895685646,-0.534220727457729
SF,3,2018-07-01,community,test,0.23865347676981982,4.528625628792406,9.432311449490216,0.3298041291800568,0.3298041291800568,-0.26824468740324725,-0.9452139266141723,-1.3158557023151707,-0.05634399973839019
SF,4,2017-11-01,community,test,2.8363303476771615,4.528625628792406,9.432311449490216,1.3480783795321472,1.3480783795321472,1.0958513076820438,-0.3728651401383625,0.09153151114874697,-0.9865384793037809
SF,4,2017-12-01,community,test,0.25470818478359336,4.528625628792406,9.432311449490216,1.3480783795321472,1.3480783795321472,-0.8050862242024763,-0.9416765764718901,-0.21680589648899737,-0.060093400438116125
TR,1,2018-02-01,community,test,2.147775769493542,0.9890708061422488,1.027679436022236,0.4443515668658755,0.4443515668658755,3.749132449081037,1.1597826262439255,1.3215244663057713,0.14823259638932465
TR,2,2018-04-01,community,test,1.1391727648122472,0.9890708061422488,1.027679436022236,0.8823724973952933,0.8823724973952933,0.287772503261269,0.15024156220677978,-1.2455850302284857,-1.8955108655012987
TR,2,2018-06-01,community,test,1.07297567555838,0.9890708061422488,1.027679436022236,0.8823724973952933,0.8823724973952933,0.21359149763067528,0.08398290581637173,-1.543689977788176,-2.477142003034254
TR,3,2018-07-01,community,test,0.38138626121946795,0.9890708061422488,1.027679436022236,1.2210301718091037,1.2210301718091037,-0.6820660693926839,-0.6082497268329329,-0.38262874988849427,-0.49716974642188105
TR,4,2017-10-01,community,test,0.6244975231622274,0.9890708061422488,1.027679436022236,1.0828202144870585,1.0828202144870585,-0.4193944120442134,-0.36491235730104304,-0.868943484293557,-1.0080980712157876
TR,4,2017-11-01,community,test,0.29535004127498415,0.9890708061422488,1.027679436022236,1.0828202144870585,1.0828202144870585,-0.72058529186495,-0.6943659654573993,-0.3276914918326676,-0.3647561297153363
TR,4,2017-12-01,community,test,0.28305125329681874,0.9890708061422488,1.027679436022236,1.0828202144870585,1.0828202144870585,-0.7318394650721487,-0.7066761920224763,-0.3121940990835083,-0.3471827207979441
WM,1,2018-02-01,community,test,0.7082519338904691,0.1519956731042144,0.13238710721635957,0.09762797136549284,0.09762797136549284,5.673469032054539,3.433772335563593,1.7358007528845856,1.2336594631207431
WM,1,2018-03-01,community,test,0.6142797712005543,0.1519956731042144,0.13238710721635957,0.09762797136549284,0.09762797136549284,4.8003487688211495,2.8536817634563927,1.5686885754452957,1.0486100073911968
WM,2,2018-04-01,community,test,0.2655298582468881,0.1519956731042144,0.13238710721635957,0.1218823846584236,0.1218823846584236,1.0892089490231203,0.7008470224364283,0.08545169792686634,-0.3554656433854437
WM,2,2018-05-01,community,test,0.829148683045257,0.1519956731042144,0.13238710721635957,0.1218823846584236,0.1218823846584236,5.362856458947558,4.180068497912405,1.6794967545759478,1.4303276334627826
WM,2,2018-06-01,community,test,0.4891414857822186,0.1519956731042144,0.13238710721635957,0.1218823846584236,0.1218823846584236,2.7847471978535943,2.0812025791646476,1.0241570964956297,0.7329458897012848
WM,4,2017-10-01,community,test,0.06208593344828923,0.1519956731042144,0.13238710721635957,0.17874916292855034,0.17874916292855034,-0.6180860760925502,-0.555013216915274,-0.4811275495200865,-0.5887633512575026
WM,4,2017-11-01,community,test,0.9721077446154341,0.1519956731042144,0.13238710721635957,0.17874916292855034,0.17874916292855034,4.203242914445157,5.062555411487,1.435856349843048,1.6218713778516698
WM,4,2017-12-01,community,test,0.8172615372215112,0.1519956731042144,0.13238710721635957,0.17874916292855034,0.17874916292855034,3.382862018490991,4.1066890946483525,1.2187221022363508,1.4126171307815276
